component,error_type,user_impact,frequency,reproducibility,priority_score,severity
Authentication,NullPointer,5,5,5,25,Critical
Authentication,Crash,5,4,5,24,Critical
Payment,DataCorruption,5,4,5,24,Critical
Payment,SecurityVuln,5,5,4,24,Critical
Authentication,Timeout,4,4,4,20,High
Database,ConnectionFail,4,4,4,20,High
API,ServerError500,4,5,3,20,High
Dashboard,DataLoss,5,3,4,20,High
Authentication,WrongPassword,3,3,5,15,Medium
UI,RenderError,3,4,3,15,Medium
Search,WrongResults,3,3,4,15,Medium
Notifications,NotSending,3,4,3,15,Medium
API,SlowResponse,2,3,4,12,Medium
Dashboard,LoadSlow,2,4,3,12,Medium
Reports,FormatError,2,3,3,11,Low
UI,AlignmentIssue,1,3,4,10,Low
Settings,SaveFail,2,2,3,9,Low
Reports,WrongLabel,1,2,3,8,Low
UI,ColorIssue,1,2,2,7,Low
Settings,UXConfusing,1,3,2,8,Low
Authentication,NullPointer,5,5,4,24,Critical
Payment,Crash,5,4,5,24,Critical
Database,DataCorruption,5,5,3,23,Critical
API,SecurityVuln,5,3,5,23,Critical
Authentication,ServerError500,4,5,4,21,High
Payment,Timeout,4,4,5,21,High
Database,ConnectionFail,5,3,4,20,High
Dashboard,DataLoss,4,4,4,20,High
API,WrongResults,3,5,3,17,Medium
Search,SlowResponse,3,4,3,15,Medium
UI,RenderError,3,3,4,15,Medium
Notifications,FormatError,2,4,3,13,Medium
Reports,LoadSlow,2,3,3,11,Low
Settings,AlignmentIssue,1,4,2,10,Low
UI,ColorIssue,1,2,3,8,Low
Dashboard,UXConfusing,2,2,2,8,Low
Authentication,Crash,5,3,5,23,Critical
Payment,NullPointer,5,4,4,23,Critical
Database,SecurityVuln,5,4,4,23,Critical
API,DataCorruption,4,5,4,22,Critical
Authentication,ConnectionFail,4,4,5,21,High
Dashboard,ServerError500,4,5,3,20,High
Payment,Timeout,4,3,5,20,High
Search,DataLoss,4,4,4,20,High
API,WrongResults,3,3,5,15,Medium
UI,SlowResponse,2,4,4,14,Medium
Notifications,RenderError,3,3,3,13,Medium
Reports,NotSending,2,3,4,12,Medium
Settings,FormatError,1,3,3,9,Low
UI,AlignmentIssue,1,2,4,8,Low
Authentication,NullPointer,5,5,5,25,Critical
Payment,SecurityVuln,5,5,4,24,Critical
Database,Crash,5,4,5,24,Critical
API,DataCorruption,5,3,5,23,Critical
Dashboard,ConnectionFail,4,5,4,21,High
Authentication,Timeout,4,5,4,21,High
Payment,ServerError500,4,4,4,20,High
Database,DataLoss,5,3,4,20,High
Search,WrongResults,3,4,4,16,Medium
UI,RenderError,3,5,3,16,Medium
API,SlowResponse,3,3,4,14,Medium
Notifications,NullPointer,3,4,3,14,Medium
Reports,LoadSlow,2,3,3,11,Low
Settings,ColorIssue,1,3,3,9,Low
Dashboard,UXConfusing,1,4,2,9,Low
UI,AlignmentIssue,1,2,3,7,Low
Authentication,Crash,5,5,5,25,Critical
Payment,NullPointer,5,5,4,24,Critical
API,SecurityVuln,5,4,5,24,Critical
Database,DataCorruption,5,4,4,23,Critical
Authentication,ConnectionFail,4,5,4,21,High
Dashboard,ServerError500,4,4,5,21,High
Payment,Timeout,5,3,4,20,High
Search,DataLoss,4,4,4,20,High
UI,WrongResults,3,5,3,16,Medium
Notifications,SlowResponse,3,3,5,15,Medium
API,RenderError,3,4,3,14,Medium
Reports,FormatError,2,4,3,13,Medium
Settings,NotSending,2,3,3,11,Low
UI,LoadSlow,1,4,3,10,Low
Dashboard,AlignmentIssue,1,3,3,9,Low
Authentication,ColorIssue,1,2,4,8,Low
Payment,Crash,5,5,5,25,Critical
Database,NullPointer,5,5,4,24,Critical
API,SecurityVuln,5,4,5,24,Critical
Authentication,DataCorruption,5,5,3,23,Critical
Dashboard,Timeout,4,4,5,21,High
Payment,ConnectionFail,4,5,4,21,High
Database,ServerError500,4,4,4,20,High
Search,DataLoss,4,4,4,20,High
API,WrongResults,3,4,4,15,Medium
UI,SlowResponse,2,5,3,14,Medium
Notifications,RenderError,3,3,4,14,Medium
Reports,NullPointer,2,4,3,13,Medium
Settings,FormatError,1,4,3,10,Low
Dashboard,LoadSlow,1,3,4,9,Low
UI,ColorIssue,1,3,2,8,Low
Authentication,UXConfusing,1,2,3,7,Low
Payment,NullPointer,5,5,5,25,Critical
Authentication,SecurityVuln,5,4,5,24,Critical
Database,Crash,5,5,4,24,Critical
API,DataCorruption,5,3,5,23,Critical
Dashboard,ConnectionFail,4,5,4,21,High
Payment,Timeout,4,4,5,21,High
Search,ServerError500,4,4,4,20,High
Database,DataLoss,4,5,3,20,High
UI,WrongResults,3,4,4,16,Medium
Notifications,SlowResponse,3,4,3,14,Medium
API,RenderError,3,3,4,14,Medium
Reports,FormatError,2,3,4,12,Medium
Settings,NotSending,2,4,2,11,Low
UI,AlignmentIssue,1,3,3,9,Low
Dashboard,UXConfusing,1,4,2,9,Low
Authentication,ColorIssue,1,2,4,8,Low
